feature_id	D39_lac_1	D39_lac_2	D39_lac_3	D39_lac_4	D39_lac_5	D39_lac_6	D39_LNnT_7	D39_LNnT_8	D39_LNnT_9	D39_LNnT_10	D39_LNnT_11	D39_LNnT_12	D39_6SL_13	D39_6SL_14	D39_6SL_15	D39_6SL_16	D39_6SL_17	D39_6SL_18
SPV_0011	6.535774150126513	6.444694379087797	6.6403792001092	7.572686700868484	7.511323208384585	7.435931094116976	7.51943527418008	7.57188949819167	7.584312036965445	7.315918790742195	7.3417631044283524	7.472437238796371	7.5395139901174	7.567984092078567	7.3364239487070435	7.44656135189825	7.261962762109015	7.378431088686928
SPV_0012	7.751479990834682	7.86085399242053	7.895835133263542	8.929498136024593	8.978926891109506	8.96377656989428	8.893757371088677	8.766558060646057	8.815013695661719	8.961521840392653	8.88634092612214	8.895917923937732	9.188142660425978	9.15312580479597	8.88971473618627	8.723314479151902	8.830456345948791	8.897370075022364
SPV_0013	10.202182335038733	10.241306815936925	10.272374444012437	11.198118849268097	11.182514322885854	11.028704325469803	10.882237448229716	10.802670498078061	10.79495538689133	10.891697118171958	10.889718912162895	10.834656872942642	11.13819386880186	11.082204147859478	11.092896592654732	10.876745194794186	10.984248078336847	11.016755737078189
SPV_0014	5.268942869555998	5.251385960282455	5.4415787306348	3.6773686869273945	3.650365785546243	4.067078079684043	3.0682287426250774	3.519640534330359	3.657569203944852	4.44073578237607	4.299714021872096	4.449714079827906	3.3952973747521544	3.722439841284032	3.4539178161563573	3.5249949466651307	3.349008023204925	3.5297548931406504
SPV_0023	6.326766146468925	6.2744138872724395	6.374908103212382	4.17702379892745	4.244617875260551	4.346640175176894	4.233825704667581	4.213070321261127	4.232135457170404	3.1736277641150865	3.546910924009877	3.4899427905402183	3.4476004913237492	3.4979974299850825	3.2551354914573993	3.8690313917600943	3.8006460239034445	3.6309992899944765
SPV_0024	10.303328829420893	10.177606829865944	10.162238386389204	10.111162192996485	10.0419250226438	10.066005442391953	8.433171836422563	8.336459673243597	8.424789019033621	9.739757938124962	9.763233690522563	9.744107127995026	8.997840745832631	9.15143163054102	9.089832805342187	9.28065016466304	9.65729230165603	9.562011382901975
SPV_0025	1.6109907446632523	1.4749400853210215	2.29618665048765	2.188102308617323	2.552300528876941	2.234517037805616	1.9332246744041588	1.6154485541341046	2.009710128032648	0.7403179044655052	0.42819780789039624	1.4405821807524966	2.1612372842460736	1.6202352054583244	1.8449157011186745	1.2737630872718753	1.2717715748224554	1.0241046299577992
SPV_2459	-2.7905017595468378	-2.00032807314582	-1.6947110808955792	-2.0433975110835765	-2.7905017595468378	-1.088167984239236	-2.7905017595468404	-2.790501759546843	-2.790501759546843	-1.8197820525137391	-2.7905017595468404	-2.7905017595468404	-1.4480857626850598	-2.0154745750240965	-2.0057009861733017	-2.2281921308028743	-2.790501759546843	-1.8136333022083713
SPV_0027	5.690778719074024	5.359050602630768	5.4819358248556505	5.031180544880176	4.916707427998378	4.932036944623716	4.992091115318252	5.264999655948217	5.0548946182892545	4.78363049551723	4.819410891391778	4.924723331663089	4.925438072856267	5.0968418891215785	4.974335930919119	4.676100432090347	4.640664688680382	4.429952536039446
SPV_0028	5.839936909607153	5.954631041304275	5.987119206515452	5.741116673915741	5.580541507529093	5.699060708182175	5.521281811077381	5.6678422084286835	5.7832481912683456	5.570467571696419	5.4233780818814	5.605838788956009	5.899379457982066	5.8274559542471955	5.781245400626306	5.335442038124954	5.279797039847921	5.281969796110809
